Observation,Shear strength (Y),Age of propellant?(X) ,Xi – X_bar,Yi(Xi – X_bar),(Xi – X_bar)^2,Y_hat,Yi – Y_hat,,,
1,2158,15.5,2.1375,4612.725,4.56890625,2051.8690505,106.1309495,beta1_hat = ,SXY/SXX =,-37.1712097464269
2,1678.15,23.75,10.3875,17431.783125,107.90015625,1745.20657625,-67.05657625,beta0_hat =,Y_bar – (beta1_hat * X_bar) = ,2628.02279023663
3,2316,8,-5.3625,-12419.55,28.75640625,2330.653118,-14.6531180000002,Y_hat = ,beta0_hat + (beta1_hat * Xi) = ,
4,2061.3,17,3.6375,7497.97875,13.23140625,1996.112237,65.1877630000001,,,
5,2207.5,5.5,-7.8625,-17356.46875,61.81890625,2423.5811405,-216.0811405,,,
6,1708.3,19,5.6375,9630.54125,31.78140625,1921.769819,-213.469819,,,
7,1784.7,24,10.6375,18984.74625,113.15640625,1735.913774,48.7862259999999,,,
8,2575,2.5,-10.8625,-27970.9375,117.99390625,2535.0947675,39.9052325000002,,,
9,2357.9,7.5,-5.8625,-13823.18875,34.36890625,2349.2387225,8.66127749999987,,,
10,2265.7,11,-2.3625,-5352.71625,5.58140625,2219.139491,46.5605089999999,,,
11,2156.2,13,-0.362500000000001,-781.622500000001,0.131406250000001,2144.797073,11.4029269999996,,,
12,2399.55,3.75,-9.6125,-23065.674375,92.40015625,2488.63075625,-89.0807562499999,,,
13,1779.8,25,11.6375,20712.4225,135.43140625,1698.742565,81.0574349999999,,,
14,2336.75,9.75,-3.6125,-8441.509375,13.05015625,2265.60350225,71.14649775,,,
15,1765.3,22,8.6375,15247.77875,74.60640625,1810.256192,-44.9561920000001,,,
16,2053.5,18,4.6375,9523.10625,21.50640625,1958.941028,94.5589719999998,,,
17,2414.4,6,-7.3625,-17776.02,54.20640625,2404.995536,9.40446400000019,,,
18,2200.5,12.5,-0.862500000000001,-1897.93125,0.743906250000001,2163.3826775,37.1173225000002,,,
19,2654.2,2,-11.3625,-30158.3475,129.10640625,2553.680372,100.519628,,,
20,1753.7,21.5,8.1375,14270.73375,66.21890625,1828.8417965,-75.1417964999998,,,
Total ,42626.45,267.25,,SXY,SXX ,,,,,
avg,2131.3225,13.3625,,-41132.150625,1106.559375,,,,,
